""	"probe.id"	"gene.id"	"p.value"	"q.value"	"log.fc"	"test.stat"
"1769308_at"	"1769308_at"	"YKR009C"	1.66839291854666e-11	1.40247675491368e-08	4.31988374811842	56.2737013569145
"1769311_at"	"1769311_at"	"YDL157C"	0.00321562612605487	0.00949226426405393	-0.329926533847813	-4.18137833626135
"1769312_at"	"1769312_at"	"YER059W"	0.761163571659787	0.832465523528638	-0.0205074290518227	-0.314753870091848
"1769313_at"	"1769313_at"	"YGL059W"	6.72344291896317e-08	2.18023098571007e-06	1.24618232368289	19.3550567611552
"1769314_at"	"1769314_at"	"YDR481C"	0.0184521964717615	0.0429215843004279	-0.230108701911509	-2.96397281177053
"1769317_at"	"1769317_at"	"YML113W"	0.00463268767477536	0.0131053613538559	-0.332667288560573	-3.9147629649024
"1769319_at"	"1769319_at"	"YIL157C"	0.0118457597787702	0.0293671648961888	0.220569048090743	3.26043078573971
"1769320_at"	"1769320_at"	"YPR003C"	0.0186422566644087	0.0432504582256532	0.240414300830803	2.95719180949344
"1769321_at"	"1769321_at"	"YNR074C"	0.0768594730648604	0.141041174820577	-0.202691981233937	-2.0361098953442
"1769322_s_at"	"1769322_s_at"	"YLR154C-H"	2.85490375765718e-06	2.79667547570075e-05	-1.24503111606982	-11.8162340423381
"1769323_at"	"1769323_at"	"YKL012W"	0.183038990779794	0.282680906054493	0.104511719341977	1.46051427801846
"1769324_at"	"1769324_at"	"YJL147C"	0.000550644297358497	0.00207569537134655	0.406992114907424	5.59676656679379
"1769325_at"	"1769325_at"	"YDL216C"	4.51173938644213e-07	7.47391062526632e-06	1.11547348310912	15.092392937522
"1769329_at"	"1769329_at"	"YNL320W"	0.00023726613190795	0.00100614834671715	-0.440301308066176	-6.36296413464085
"1769331_at"	"1769331_at"	"YHL007C"	7.15192158198814e-05	0.00035917370886014	-0.517516333454403	-7.5807024503317
"1769333_at"	"1769333_at"	"YPL223C"	9.45678169301316e-10	1.26028915050302e-07	8.82581075490519	33.5532580862795
"1769335_at"	"1769335_at"	"YKL138C"	0.0522098982453933	0.102820286182313	-0.201185936856202	-2.28636301196693
"1769336_at"	"1769336_at"	"YNL126W"	0.438845340269907	0.554993852386245	0.0804842162877469	0.815529743486892
"1769338_at"	"1769338_at"	"YKL055C"	0.101636405719157	0.177170623974948	0.440237175425733	1.8538909870863
"1769339_at"	"1769339_at"	"YML035C"	0.45581611966893	0.571561509551585	-0.0593104407373534	-0.784468817898945
"1769341_at"	"1769341_at"	"YER087C-B"	2.80068298929122e-05	0.000162883787690125	-0.711671178538979	-8.65340966131281
"1769342_at"	"1769342_at"	"YIL160C"	2.24638334040825e-10	5.52070453307461e-08	7.9259891058403	40.3452421414417
"1769344_at"	"1769344_at"	"YLR050C"	3.47557197662244e-05	0.00019559455463897	-0.648152125933499	-8.39607234548891
"1769345_at"	"1769345_at"	"YOR037W"	0.0124170843171755	0.0305961437244857	0.252341310564977	3.22860342658258
"1769346_at"	"1769346_at"	"YOL008W"	0.273970451604494	0.38796800507113	-0.0865915753325702	-1.17627441417784
"1769349_s_at"	"1769349_s_at"	"YOR072W-B"	6.81714078410634e-08	2.19757269878213e-06	-3.19901657817842	-19.3202716103083
"1769350_at"	"1769350_at"	"YPL253C"	0.000477477738359858	0.00184182023466168	-0.635026471682346	-5.72188885932866
"1769352_at"	"1769352_at"	"YDL048C"	4.21518761178606e-05	0.000229058031932362	0.961891286046687	8.1714565740256
"1769356_at"	"1769356_at"	"YDR056C"	0.00320292993877458	0.00946245427708261	-0.268112625803817	-4.1843096968743
"1769358_at"	"1769358_at"	"YNL083W"	0.716945049054305	0.798163762842853	0.0250691409739108	0.375921585931811
"1769359_at"	"1769359_at"	"YCR081W"	0.0947064413203137	0.167522173963805	0.157202297597323	1.90012438351288
"1769361_at"	"1769361_at"	"YDL159W"	0.315451088107025	0.432256989446216	0.0726685943069405	1.07238279145187
"1769362_at"	"1769362_at"	"YCR024C-B"	0.274922258121127	0.388862339729184	0.112486750338466	1.17375211978567
"1769365_at"	"1769365_at"	"YPL154C"	5.10230462177799e-05	0.000270538500275545	0.831577322523833	7.95393026619328
"1769366_at"	"1769366_at"	"YDR020C"	3.45842376905004e-06	3.19472991954175e-05	-1.27685878405751	-11.5161243672201
"1769368_at"	"1769368_at"	"YOR290C"	2.60930587901913e-05	0.000153386200354605	0.589465394324518	8.73918408040819
"1769371_at"	"1769371_at"	"YGR267C"	0.0005104817496	0.00194171408271103	-0.388197307389189	-5.66300700311858
"1769373_at"	"1769373_at"	"YNL216W"	0.0986119088156341	0.172949678903554	-0.143769482547253	-1.87368640395826
"1769374_at"	"1769374_at"	"YFL034C-B"	4.55522229248229e-05	0.000244762547564866	-0.601187116188523	-8.08252858694587
"1769375_at"	"1769375_at"	"YEL031W"	8.99223046719067e-05	0.000437011022663596	-0.674835116359296	-7.33557926511894
"1769377_at"	"1769377_at"	"YBR238C"	4.60089345898324e-06	3.96503531079903e-05	-1.36223635099092	-11.0821253507337
"1769378_at"	"1769378_at"	"YFL045C"	5.07627182375925e-06	4.25059194950674e-05	-0.716342698512765	-10.9360461431439
"1769379_at"	"1769379_at"	"YGL222C"	0.011987094529652	0.0296838814910576	-0.388401425008723	-3.25240885147815
"1769383_at"	"1769383_at"	"YIR021W"	1.05273547885914e-06	1.34553138163423e-05	-0.930940746388437	-13.4955936661807
